name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacillus thuringiensis serovar morrisoni	1441	leaf	6179896	1	0	0.0
Bacillus thuringiensis serovar tolworthi	1442	leaf	6870591	10	2	0.0
Bacillus thuringiensis serovar tenebrionis	1444	leaf	37344668	4	0	0.0
Alicyclobacillus acidoterrestris	1450	species	4346939	1	1	0.0
Paenibacillus amylolyticus	1451	species	14193771	10	6	0.0
Bacillus atrophaeus	1452	species	50395816	17	7	0.0
Bacillus badius	1455	species	4289048	8	8	0.0
Alicyclobacillus cycloheptanicus	1457	species	3617228	1	1	0.0
Paenibacillus larvae	1464	species	4452494	11	6	0.0
Brevibacillus laterosporus	1465	species	26785409	40	9	0.0
Lederbergia lenta	1467	species	4384366	8	6	0.0
Bacillus methanolicus	1471	species	3560650	7	0	0.0
Paenibacillus pabuli	1472	species	7601165	6	4	0.0
Virgibacillus pantothenticus	1473	species	4761851	14	2	0.0
Sporosarcina pasteurii	1474	species	6552284	7	3	0.0
Sporosarcina psychrophila	1476	species	9551363	15	5	0.0
Paenibacillus larvae subsp. pulvifaciens	1477	subspecies	13759777	10	2	0.0
Peribacillus simplex	1478	species	28153343	32	16	0.0
Bacillus smithii	1479	species	3381292	5	3	0.0
Virgibacillus halodenitrificans	1482	species	16141639	711	13	0.0
Clostridium	1485	genus	0	1130	0	0.0
Clostridium acetobutylicum	1488	species	0	2	0	0.0
